f,g,f_no_neg,g_no_neg,alpha,beta,gamma,n,k_gamma0,k_gamma,d0,d,ratio0,ratio
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,-6,42,4,4,7,7,4.67,4.67
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,-3,42,4,4,7,5,4.67,2.38
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,-2,42,4,4,7,6,4.67,3.43
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,-1,42,4,4,7,7,4.67,4.67
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,0,42,4,4,7,7,4.67,4.67
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,1,42,4,4,7,7,4.67,4.67
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,4,42,4,4,7,5,4.67,2.38
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,5,42,4,4,7,6,4.67,3.43
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2,7,3,6,42,4,4,7,7,4.67,4.67
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,3,7,-2,42,2,4,7,7,2.33,4.67
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,3,7,1,42,2,4,7,7,2.33,4.67
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,-17,42,2,4,7,6,2.33,3.43
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,-14,42,2,4,7,5,2.33,2.38
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,-8,42,2,4,7,7,2.33,4.67
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,-5,42,2,4,7,6,2.33,3.43
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,4,42,2,4,7,6,2.33,3.43
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,7,42,2,4,7,5,2.33,2.38
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,13,42,2,4,7,7,2.33,4.67
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,x^2+x*y^2+y,x^2*y^3+y^5+1,21,1,16,42,2,4,7,6,2.33,3.43
x^3*y^2 + x^3*y + 1,1 + y^-1 + x^-2*y^-1,x^3*y^2+x^3*y+1,x^2*y+x^2+1,3,7,-2,42,2,4,8,6,3.05,3.43
x^3*y^2 + x^3*y + 1,1 + y^-1 + x^-2*y^-1,x^3*y^2+x^3*y+1,x^2*y+x^2+1,3,7,1,42,2,4,8,6,3.05,3.43
x^3*y^2 + x^2*y^2 + 1,x^2*y^-3 + x*y^-3 + 1,x^3*y^2+x^2*y^2+1,x^2+x+y^3,3,7,-1,42,2,4,7,4,2.33,1.52
x^3*y^2 + x^2*y^2 + 1,x^2*y^-3 + x*y^-3 + 1,x^3*y^2+x^2*y^2+1,x^2+x+y^3,3,7,2,42,2,4,7,4,2.33,1.52
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,3,7,-2,42,2,4,5,5,1.19,2.38
